,path,functions,complexity,comment_lines_density,duplicated_lines_density,coverage,ncloc,security_rating,tests,test_success_density,test_execution_time,reliability_rating,filename,repository,version
593,test/app.e2e-spec.ts,3,3,0.0,0.0,,20,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
594,src/app.module.ts,0,0,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
595,src/questionario/entities/asnwer.entity.ts,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
596,src/comunidades/entities/comunidade.entity.ts,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
597,test/comunidades/comunidades.controller.spec.ts,3,3,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
598,src/comunidades/comunidades.controller.ts,2,2,0.0,0.0,,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
599,src/comunidades/comunidades.module.ts,0,0,0.0,0.0,,8,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
600,test/comunidades/comunidades.service.spec.ts,3,3,0.0,0.0,,14,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
601,src/comunidades/comunidades.service.ts,1,1,0.0,0.0,,7,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
602,src/config/configuration.ts,2,2,0.0,0.0,,16,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
603,src/questionario/dto/create-questionario.dto.ts,0,0,0.0,0.0,,1,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
604,src/main.ts,2,2,0.0,0.0,,30,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
605,test/questionario/questionario.controller.spec.ts,5,5,0.0,0.0,,28,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
606,src/questionario/questionario.controller.ts,3,3,0.0,0.0,,17,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
607,src/questionario/questionario.module.ts,0,0,0.0,0.0,,20,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
608,src/questionario/entities/questionario.schema.ts,0,0,0.0,0.0,,9,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
609,test/questionario/questionario.service.spec.ts,8,8,0.0,0.0,,59,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
610,src/questionario/questionario.service.ts,3,3,0.0,0.0,,30,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
611,src/questionario/dto/sendSurveyAsnwers.dto.ts,0,0,0.0,0.0,,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
612,src/questionario/entities/survey_response.schema.ts,0,0,0.0,0.0,,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
613,src/questionario/dto/update-questionario.dto.ts,0,0,0.0,0.0,,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_14-09-2021_v0.0.1.json,Cartografia-social-api-comunidades,v0.0.1
572,src/comunidades/entities/comunidade.schema.ts,2,2,0.0,0.0,72.7,23,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
573,src/comunidades/comunidades.controller.ts,5,5,0.0,0.0,100.0,29,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
574,src/comunidades/comunidades.module.ts,0,0,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
575,src/comunidades/comunidades.service.ts,5,9,0.0,0.0,87.1,43,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
576,src/comunidades/dto/createCommunity.dto.ts,0,0,0.0,0.0,100.0,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
577,src/commons/exceptions/MicrosserviceException.ts,1,1,0.0,0.0,100.0,10,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
578,src/questionario/questionario.service.ts,3,3,0.0,0.0,92.3,30,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
579,src/comunidades/dto/updateCommunity.dto.ts,0,0,0.0,0.0,100.0,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.3.json,Cartografia-social-api-comunidades,v0.0.3
614,src/comunidades/entities/comunidade.schema.ts,2,2,0.0,0.0,72.7,23,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
615,src/comunidades/comunidades.controller.ts,5,5,0.0,0.0,100.0,29,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
616,src/comunidades/comunidades.module.ts,0,0,0.0,0.0,,15,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
617,src/comunidades/comunidades.service.ts,5,9,0.0,0.0,87.1,43,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
618,src/comunidades/dto/createCommunity.dto.ts,0,0,0.0,0.0,100.0,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
619,src/commons/exceptions/MicrosserviceException.ts,1,1,0.0,0.0,100.0,10,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
620,src/questionario/questionario.controller.ts,4,4,0.0,0.0,100.0,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
621,src/questionario/entities/questionario.schema.ts,0,0,0.0,0.0,0.0,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
622,src/questionario/questionario.service.ts,4,4,0.0,0.0,100.0,33,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
623,src/comunidades/dto/updateCommunity.dto.ts,0,0,0.0,0.0,100.0,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.4.json,Cartografia-social-api-comunidades,v0.0.4
560,src/comunidades/dto/communityUser.dto.ts,0,0,0.0,0.0,100.0,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
561,src/comunidades/entities/comunidade.schema.ts,2,2,0.0,0.0,72.7,23,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
562,src/comunidades/comunidades.controller.ts,9,9,0.0,0.0,100.0,46,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
563,src/comunidades/comunidades.module.ts,0,0,0.0,0.0,,20,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
564,src/comunidades/comunidades.service.ts,9,14,2.5,0.0,89.6,79,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
565,src/comunidades/dto/createCommunity.dto.ts,0,0,0.0,0.0,100.0,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
566,src/commons/exceptions/MicrosserviceException.ts,1,1,0.0,0.0,100.0,10,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
567,src/questionario/questionario.controller.ts,4,4,0.0,0.0,100.0,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
568,src/questionario/entities/questionario.schema.ts,0,0,0.0,0.0,0.0,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
569,src/questionario/questionario.service.ts,4,4,0.0,0.0,100.0,33,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
570,src/comunidades/dto/updateCommunity.dto.ts,0,0,0.0,0.0,100.0,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
571,src/comunidades/entities/userRelation.schema.ts,2,2,0.0,0.0,76.9,26,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.5.json,Cartografia-social-api-comunidades,v0.0.5
535,src/comunidades/dto/communityUser.dto.ts,0,0,0.0,0.0,100.0,4,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
536,src/comunidades/entities/comunidade.schema.ts,2,2,0.0,0.0,72.7,23,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
537,src/comunidades/comunidades.controller.ts,13,13,0.0,0.0,100.0,62,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
538,src/comunidades/comunidades.module.ts,0,0,0.0,0.0,,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
539,src/comunidades/comunidades.service.ts,13,19,3.4,0.0,95.3,112,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
540,src/comunidades/dto/createCommunity.dto.ts,0,0,0.0,0.0,100.0,5,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
541,src/commons/exceptions/MicrosserviceException.ts,1,1,0.0,0.0,100.0,10,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
542,src/questionario/questionario.controller.ts,4,4,0.0,0.0,100.0,21,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
543,src/questionario/entities/questionario.schema.ts,0,0,0.0,0.0,0.0,11,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
544,src/questionario/questionario.service.ts,4,4,0.0,0.0,100.0,33,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
545,src/comunidades/dto/updateCommunity.dto.ts,0,0,0.0,0.0,100.0,6,1.0,,100.0,,1.0,fga-eps-mds-2021_1-Cartografia-social-api-comunidades_10-15-2021_v0.0.6.json,Cartografia-social-api-comunidades,v0.0.6
